iterations	threads	time in ns	matrix size	GMAC/s
0	single.1	2492100.0	150	1.3542795232936078
0	multi.12	1489500.0	150	2.2658610271903323
1	single.1	3496100.0	150	0.9653614027058722
1	multi.12	493800.0	150	6.834750911300121
2	single.1	2509200.0	150	1.3450502152080344
2	multi.12	488300.0	150	6.911734589391767
3	single.1	2976100.0	150	1.1340344746480293
3	multi.12	496400.0	150	6.798952457695407
4	single.1	2975700.0	150	1.1341869140034277
4	multi.12	496400.0	150	6.798952457695407
5	single.1	2975800.0	150	1.1341488003226023
5	multi.12	496400.0	150	6.798952457695407
6	single.1	2478400.0	150	1.361765655261459
6	multi.12	496500.0	150	6.7975830815709966
7	single.1	2976400.0	150	1.1339201720198897
7	multi.12	992000.0	150	3.402217741935484
8	single.1	2976100.0	150	1.1340344746480293
8	multi.12	496200.0	150	6.801692865779928
9	single.1	2975900.0	150	1.1341106892032662
9	multi.12	496100.0	150	6.803063898407579
10	single.1	2479500.0	150	1.3611615245009074
10	multi.12	496000.0	150	6.804435483870968
11	single.1	2479700.0	150	1.3610517401298545
11	multi.12	1983400.0	150	1.7016234748411818
12	single.1	2976000.0	150	1.1340725806451613
12	multi.12	496500.0	150	6.7975830815709966
13	single.1	2479100.0	150	1.3613811463837684
13	multi.12	496300.0	150	6.800322385653838
14	single.1	2976000.0	150	1.1340725806451613
14	multi.12	496200.0	150	6.801692865779928
15	single.1	2976500.0	150	1.1338820762640685
15	multi.12	496000.0	150	6.804435483870968
16	single.1	2975800.0	150	1.1341488003226023
16	multi.12	496300.0	150	6.800322385653838
17	single.1	2976200.0	150	1.1339963712116121
17	multi.12	991800.0	150	3.4029038112522687
18	single.1	2976100.0	150	1.1340344746480293
18	multi.12	496600.0	150	6.796214256947241
19	single.1	2479800.0	150	1.3609968545850473
19	multi.12	496000.0	150	6.804435483870968
0	single.1	4985400.0	175	1.075014040999719
0	multi.12	496200.0	175	10.80083635630794
1	single.1	4489900.0	175	1.193651306265173
1	multi.12	496100.0	175	10.803013505341665
2	single.1	4487400.0	175	1.1943163078842982
2	multi.12	991700.0	175	5.404230109912272
3	single.1	4463800.0	175	1.2006306286123931
3	multi.12	496300.0	175	10.798660084626235
4	single.1	4464400.0	175	1.2004692679867395
4	multi.12	991900.0	175	5.403140437544107
5	single.1	4464100.0	175	1.2005499428776236
5	multi.12	496500.0	175	10.794310171198388
6	single.1	4463700.0	175	1.2006575262674464
6	multi.12	495800.0	175	10.809550221863654
7	single.1	4464500.0	175	1.2004423787658192
7	multi.12	991700.0	175	5.404230109912272
8	single.1	4462400.0	175	1.2010073054858372
8	multi.12	496300.0	175	10.798660084626235
9	single.1	4462100.0	175	1.2010880527106071
9	multi.12	991800.0	175	5.403685218794112
10	single.1	4463700.0	175	1.2006575262674464
10	multi.12	496600.0	175	10.792136528393073
11	single.1	4464300.0	175	1.200496158412293
11	multi.12	495800.0	175	10.809550221863654
12	single.1	4464100.0	175	1.2005499428776236
12	multi.12	992200.0	175	5.401506752670833
13	single.1	4463800.0	175	1.2006306286123931
13	multi.12	496100.0	175	10.803013505341665
14	single.1	4463800.0	175	1.2006306286123931
14	multi.12	495300.0	175	10.820462346052897
15	single.1	4463600.0	175	1.2006844251276996
15	multi.12	496200.0	175	10.80083635630794
16	single.1	4463500.0	175	1.200711325193234
16	multi.12	31744000.0	175	0.16883111769153225
17	single.1	4464000.0	175	1.2005768369175627
17	multi.12	496100.0	175	10.803013505341665
18	single.1	4464000.0	175	1.2005768369175627
18	multi.12	496300.0	175	10.798660084626235
19	single.1	4463800.0	175	1.2006306286123931
19	multi.12	991700.0	175	5.404230109912272
0	single.1	6477600.0	200	1.2350253180190194
0	multi.12	1489200.0	200	5.372011818426
1	single.1	6449300.0	200	1.2404446994247438
1	multi.12	1489300.0	200	5.371651111260324
2	single.1	6462000.0	200	1.2380068090374496
2	multi.12	1484500.0	200	5.3890198720107785
3	single.1	6979700.0	200	1.1461810679542102
3	multi.12	496000.0	200	16.129032258064516
4	single.1	6944000.0	200	1.152073732718894
4	multi.12	495700.0	200	16.13879362517652
5	single.1	6944000.0	200	1.152073732718894
5	multi.12	992200.0	200	8.062890546260835
6	single.1	6943700.0	200	1.152123507640019
6	multi.12	496300.0	200	16.11928269192021
7	single.1	6943700.0	200	1.152123507640019
7	multi.12	992400.0	200	8.061265618702135
8	single.1	6943300.0	200	1.152189880892371
8	multi.12	496200.0	200	16.12253123740427
9	single.1	6943700.0	200	1.152123507640019
9	multi.12	495800.0	200	16.135538523598225
10	single.1	6447200.0	200	1.2408487405385284
10	multi.12	992200.0	200	8.062890546260835
11	single.1	6944400.0	200	1.1520073728471862
11	multi.12	992400.0	200	8.061265618702135
12	single.1	6943600.0	200	1.1521401002361886
12	multi.12	992000.0	200	8.064516129032258
13	single.1	6943700.0	200	1.152123507640019
13	multi.12	992100.0	200	8.06370325572019
14	single.1	6944100.0	200	1.152057142034245
14	multi.12	496000.0	200	16.129032258064516
15	single.1	6944000.0	200	1.152073732718894
15	multi.12	992400.0	200	8.061265618702135
16	single.1	6944300.0	200	1.1520239620984116
16	multi.12	32239700.0	200	0.24814126682320245
17	single.1	6944200.0	200	1.1520405518274244
17	multi.12	992300.0	200	8.062078000604656
18	single.1	6944100.0	200	1.152057142034245
18	multi.12	992400.0	200	8.061265618702135
19	single.1	6943700.0	200	1.152123507640019
19	multi.12	992300.0	200	8.062078000604656
0	single.1	9452000.0	225	1.2051020947947524
0	multi.12	1955400.0	225	5.825214789812826
1	single.1	9905100.0	225	1.149975770057849
1	multi.12	1471800.0	225	7.739247859763555
2	single.1	9952000.0	225	1.1445563705787782
2	multi.12	1984200.0	225	5.7406637435742365
3	single.1	9409200.0	225	1.2105837903328658
3	multi.12	992300.0	225	11.479013403204677
4	single.1	9920000.0	225	1.1482484879032258
4	multi.12	991300.0	225	11.490593160496317
5	single.1	9919500.0	225	1.1483063662482988
5	multi.12	991400.0	225	11.489434133548517
6	single.1	9919600.0	225	1.1482947901125045
6	multi.12	991400.0	225	11.489434133548517
7	single.1	9920600.0	225	1.1481790415902264
7	multi.12	32239800.0	225	0.35330941879292055
8	single.1	9920200.0	225	1.1482253381988266
8	multi.12	991700.0	225	11.485958455177977
9	single.1	9920000.0	225	1.1482484879032258
9	multi.12	992200.0	225	11.48017032856279
10	single.1	9919700.0	225	1.1482832142101072
10	multi.12	991400.0	225	11.489434133548517
11	single.1	9920100.0	225	1.1482369129343455
11	multi.12	989900.0	225	11.506844125669259
12	single.1	9918700.0	225	1.1483989837377881
12	multi.12	32736100.0	225	0.3479530243370469
13	single.1	10415900.0	225	1.0935804875238817
13	multi.12	1983600.0	225	5.742400181488203
14	single.1	9919700.0	225	1.1482832142101072
14	multi.12	992200.0	225	11.48017032856279
15	single.1	9920000.0	225	1.1482484879032258
15	multi.12	1487100.0	225	7.6596227556990115
16	single.1	9919600.0	225	1.1482947901125045
16	multi.12	1983900.0	225	5.7415318312414945
17	single.1	9918700.0	225	1.1483989837377881
17	multi.12	991400.0	225	11.489434133548517
18	single.1	9920000.0	225	1.1482484879032258
18	multi.12	991400.0	225	11.489434133548517
19	single.1	9920100.0	225	1.1482369129343455
19	multi.12	991000.0	225	11.49407164480323
0	single.1	13412900.0	250	1.1649233200873785
0	multi.12	1955700.0	250	7.989466687119702
1	single.1	13917100.0	250	1.122719532086426
1	multi.12	1487000.0	250	10.50773369199731
2	single.1	13420700.0	250	1.16424627627471
2	multi.12	1488200.0	250	10.499260852036016
3	single.1	13887700.0	250	1.1250963082439858
3	multi.12	1487700.0	250	10.502789540902064
4	single.1	14384100.0	250	1.0862688663176703
4	multi.12	1487500.0	250	10.504201680672269
5	single.1	14880100.0	250	1.0500601474452456
5	multi.12	2480100.0	250	6.300149187532761
6	single.1	14384000.0	250	1.0862764182424915
6	multi.12	1487200.0	250	10.506320602474448
7	single.1	16862500.0	250	0.9266123054114158
7	multi.12	3471900.0	250	4.500417638756876
8	single.1	13887900.0	250	1.125080105703526
8	multi.12	2480000.0	250	6.300403225806452
9	single.1	13888100.0	250	1.125063903629726
9	multi.12	1983900.0	250	7.875901003074752
10	single.1	13391100.0	250	1.1668197534183151
10	multi.12	1487800.0	250	10.502083613388896
11	single.1	13888100.0	250	1.125063903629726
11	multi.12	2975900.0	250	5.250512450015122
12	single.1	13888100.0	250	1.125063903629726
12	multi.12	1983700.0	250	7.87669506477794
13	single.1	13888000.0	250	1.125072004608295
13	multi.12	2480000.0	250	6.300403225806452
14	single.1	13887700.0	250	1.1250963082439858
14	multi.12	1984100.0	250	7.87510710145658
15	single.1	13392000.0	250	1.166741338112306
