03/10/23 11:48:19
Organisation;URL;Erreur;Mention accessibilité;Lien accessibilité;Pourcentage de conformité;Doctype;Lang;Mentions légales;Lien Contact
Design Gouv;https://design.numerique.gouv.fr/;;totalement conforme;https://design.numerique.gouv.fr/misc/accessibilite;100;html;fr;https://design.numerique.gouv.fr/misc/mentions-legales;https://design.numerique.gouv.fr/contact
Example;http://example.com/;;échec;échec;échec;html;échec;échec;échec

